regime,epistasis_class,column,n_slopes,mean_slope,median_slope,std_slope,mean_abs_slope,frac_same_sign,mean_r2,frac_p_lt_0.05
mig0,DDE,DDE_1,100.0,0.7526158594593791,0.6136114379174338,1.4510082822130086,1.2801955353785939,0.66,0.09197922373587307,0.15
mig0,DDE,DDE_2,100.0,0.5649820558926438,0.6250232525851795,1.2863557201438471,1.1239204145935415,0.75,0.06418429075757749,0.08
mig0,DE,DE_1,100.0,1.3372031600103198,1.347480376679295,1.400351246450605,1.615565278731709,0.82,0.11316683084791179,0.24
mig0,DE,DE_2,100.0,1.6673320234454914,1.4810218812711622,1.4398412451959277,1.7852305635523598,0.89,0.14996500707796007,0.31
mig0,DI,DI_1,100.0,-1.064365956624047,-1.14421886484517,1.356223108407458,1.4320031700478877,0.73,0.10403207058515745,0.19
mig0,DI,DI_2,100.0,-1.1321810621273423,-1.2725250148589595,1.488446599084404,1.5487924193588751,0.83,0.11316777796200654,0.16
mig0,DRE,DRE_1,100.0,2.0455011199040527,1.9957425201817802,1.4992476501251855,2.13542684911354,0.94,0.180878996083373,0.41
mig0,DRE,DRE_2,100.0,1.843883244665452,1.8940255849348404,1.434152699035469,2.0291517907386414,0.91,0.17300059557610314,0.37
mig0,NE,NE_1,100.0,-1.929640462400374,-2.000320796761242,1.435484911684348,2.053287322592059,0.92,0.1741499906180163,0.37
mig0,NE,NE_2,100.0,-1.7430225726166733,-1.8441412004713902,1.43833485211175,1.882990545521544,0.87,0.15675340299248527,0.34
mig0,PO,PO_1,100.0,2.3424718198318515,2.432153716148374,1.456567988708905,2.3769614365534575,0.96,0.20955947880719453,0.48
mig0,PO,PO_2,100.0,2.398792714231089,2.2723340846279987,1.3238931279817896,2.4299452992514463,0.97,0.21440013508059574,0.47
mig0,RE,RE_1,100.0,2.049408536388833,2.1345194950322055,1.5180912869754206,2.155210272442753,0.93,0.1842847438778718,0.46
mig0,RE,RE_2,100.0,1.9867605221638545,2.0560673735334127,1.4005084557213452,2.113213823095169,0.9,0.17590644728130564,0.44
mig0.01,DDE,DDE_1,100.0,0.5755148415371211,0.6397851115157384,1.4585228673647737,1.2681831488552107,0.67,0.07921494792188889,0.13
mig0.01,DDE,DDE_2,100.0,0.5219346945239967,0.47932875343205594,1.4325252658708947,1.2140086075564844,0.66,0.07603506549733954,0.09
